CREATE 5374
VERTEX 0 罗秀路
VERTEX 1 徐浦大侨
VERTEX 2 金桥镇
VERTEX 3 张桥镇
VERTEX 4 淮海中路
VERTEX 5 延安东路
VERTEX 6 弘杨花苑
VERTEX 7 枣庄路
VERTEX 8 杉达大学
VERTEX 9 友谊
VERTEX 10 十里河
VERTEX 11 左安东里
VERTEX 12 沈家浜
VERTEX 13 翔殷路
VERTEX 14 公兴桥
VERTEX 15 中山北路
VERTEX 16 国棉二十二厂
VERTEX 17 中山西路
VERTEX 18 东宝兴路
VERTEX 19 同心路
VERTEX 20 邯郸路
VERTEX 21 中山北二路
VERTEX 22 景凤路
VERTEX 23 一二八纪念路
VERTEX 24 七宝
VERTEX 25 吴宝路
VERTEX 26 金桥路
VERTEX 27 长风公园
VERTEX 28 华师大
VERTEX 29 华山路
VERTEX 30 陕西南路
VERTEX 31 北郎中
VERTEX 32 赵全营
VERTEX 33 程家桥招呼站
VERTEX 34 虹梅北路
VERTEX 35 顾村
VERTEX 36 顾村中学
VERTEX 37 华东国贸
VERTEX 38 塘桥
VERTEX 39 民府路
VERTEX 40 民庆路
VERTEX 41 北区汽车站
VERTEX 42 芷江西路
VERTEX 43 上海西站
VERTEX 44 真北新村
VERTEX 45 丰镇路
VERTEX 46 凉城新村
VERTEX 47 蒲汇塘路
VERTEX 48 宜山北路
VERTEX 49 四平路
VERTEX 50 玉田新村
VERTEX 51 爱晖路
VERTEX 52 呼玛一村
VERTEX 53 东安路青松城
VERTEX 54 吴兴路
VERTEX 55 大连路唐山路
VERTEX 56 和平公园
VERTEX 57 虹口游泳池
VERTEX 58 上农新村
VERTEX 59 盛桥
VERTEX 60 新丰村
VERTEX 61 德平路
VERTEX 62 洋泾港桥
VERTEX 63 二汽公司
VERTEX 64 曹行镇
VERTEX 65 华唐苑
VERTEX 66 控江路
VERTEX 67 上海机床厂
VERTEX 68 申江路
VERTEX 69 唐陆路
VERTEX 70 桃浦七村
VERTEX 71 银杏路
VERTEX 72 绍兴路
VERTEX 73 文化广场
VERTEX 74 金沙江路杏山路
VERTEX 75 杨柳青路
VERTEX 76 白云路
VERTEX 77 羊坊店南口
VERTEX 78 三林塘
VERTEX 79 上南路
VERTEX 80 北蔡
VERTEX 81 花木
VERTEX 82 八号桥
VERTEX 83 莲溪
VERTEX 84 史村
VERTEX 85 西田阳
VERTEX 86 横浜路
VERTEX 87 临平北路
VERTEX 88 防化团
VERTEX 89 云居寺
VERTEX 90 南京东路外滩
VERTEX 91 天潼路
VERTEX 92 博文路
VERTEX 93 龙阳路
VERTEX 94 严家弄
VERTEX 95 真光新村
VERTEX 96 华浜新村
VERTEX 97 上钢一厂
VERTEX 98 金桥新路
VERTEX 99 居家桥路
VERTEX 100 普乐新村
VERTEX 101 蔷薇新村
VERTEX 102 龙川路
VERTEX 103 北艾路
VERTEX 104 原水厂
VERTEX 105 王家宅
VERTEX 106 市光新村
VERTEX 107 中原路
VERTEX 108 黎明花园
VERTEX 109 农学院
VERTEX 110 淮海路
VERTEX 111 延安中路
VERTEX 112 华江支路
VERTEX 113 江桥
VERTEX 114 华中路七莘路
VERTEX 115 七莘路五号桥
VERTEX 116 龙山新村
VERTEX 117 上海体育馆
VERTEX 118 金桥
VERTEX 119 隧道六线
VERTEX 120 大华一路
VERTEX 121 香泉路
VERTEX 122 长桥新村
VERTEX 123 园南新村
VERTEX 124 马家桥
VERTEX 125 天山路
VERTEX 126 大连西路
VERTEX 127 农展馆
VERTEX 128 团结湖北口
VERTEX 129 中兴路
VERTEX 130 芷江中路
VERTEX 131 东方电视台
VERTEX 132 浦城路
VERTEX 133 张杨路
VERTEX 134 龙漕路
VERTEX 135 游泳馆
VERTEX 136 安乐林
VERTEX 137 永定门
VERTEX 138 淮海东路
VERTEX 139 西藏中路
VERTEX 140 董家渡
VERTEX 141 复兴路
VERTEX 142 大木桥路
VERTEX 143 枫林路
VERTEX 144 大场
VERTEX 145 马桥
VERTEX 146 金燕大厦
VERTEX 147 阳光园
VERTEX 148 江宁路
VERTEX 149 上海汽车站
VERTEX 150 南京路外滩
VERTEX 151 山西南路
VERTEX 152 黄兴路
VERTEX 153 普乐三村
VERTEX 154 朱行
VERTEX 155 东管头
VERTEX 156 鹅凤营
VERTEX 157 长风二村
VERTEX 158 普陀医院
VERTEX 159 十村
VERTEX 160 王恒昌桥
VERTEX 161 三转炉
VERTEX 162 铁合金厂
VERTEX 163 蔡家弄
VERTEX 164 刘行
VERTEX 165 新区公安局
VERTEX 166 云山路
VERTEX 167 临汾路
VERTEX 168 三泉路
VERTEX 169 航东路
VERTEX 170 青沪公路
VERTEX 171 乳山路
VERTEX 172 潍坊新村
VERTEX 173 白莲泾
VERTEX 174 桂箐路
VERTEX 175 潘家桥
VERTEX 176 居家厍
VERTEX 177 真北路
VERTEX 178 龙川北路
VERTEX 179 上海中学
VERTEX 180 稻香湖
VERTEX 181 前沙涧
VERTEX 182 孔庄
VERTEX 183 龙庄
VERTEX 184 车站北路
VERTEX 185 一号桥
VERTEX 186 曹阳八村
VERTEX 187 三汽公司
VERTEX 188 人民广场
VERTEX 189 泰兴路
VERTEX 190 国京路
VERTEX 191 政立路
VERTEX 192 长途汽车站
VERTEX 193 中百沪太店
VERTEX 194 大渡河路
VERTEX 195 建材市场
VERTEX 196 教育考试院
